rel_id,song_id,author_id,合作类型,备注,最新更新时间
120004_A197,120004,A197,,,2026-03-24 01:48:46
120005_A198,120005,A198,,,2026-03-24 01:48:46
120006_A105,120006,A105,,,2026-03-24 01:48:46
120007_A199,120007,A199,,,2026-03-24 01:48:46
120008_A200,120008,A200,,,2026-03-24 01:48:46
120009_A201,120009,A201,,,2026-03-24 01:48:46
120010_A015,120010,A015,,,2026-03-24 01:48:46
120011_A038,120011,A038,,,2026-03-24 01:48:46
120012_A065,120012,A065,,,2026-03-24 01:48:46
120013_A202,120013,A202,,,2026-03-24 01:48:46
120014_A105,120014,A105,,,2026-03-24 01:48:46
120015_A203,120015,A203,,,2026-03-24 01:48:46
120016_A181,120016,A181,,,2026-03-24 01:48:46
120017_A204,120017,A204,,,2026-03-24 01:48:46
120018_A094,120018,A094,,,2026-03-24 01:48:46
120019_A205,120019,A205,,,2026-03-24 01:48:46
120020_A206,120020,A206,,,2026-03-24 01:48:46
120021_A016,120021,A016,,,2026-03-24 01:48:46
120022_A207,120022,A207,,,2026-03-24 01:48:46
120023_A208,120023,A208,,,2026-03-24 01:48:46
120024_A209,120024,A209,,,2026-03-24 01:48:46
120025_A210,120025,A210,,,2026-03-24 01:48:46
120026_A197,120026,A197,,,2026-03-24 01:48:46
120027_A206,120027,A206,,,2026-03-24 01:48:46
120028_A188,120028,A188,,,2026-03-24 01:48:46
120029_A197,120029,A197,,,2026-03-24 01:48:46
120030_A156,120030,A156,,,2026-03-24 01:48:46
120031_A065,120031,A065,,,2026-03-24 01:48:46
120032_A016,120032,A016,,,2026-03-24 01:48:46
120033_A038,120033,A038,,,2026-03-24 01:48:46
120034_A211,120034,A211,,,2026-03-24 01:48:46
120035_A198,120035,A198,,,2026-03-24 01:48:46
120036_A212,120036,A212,,,2026-03-24 01:48:46
120037_A213,120037,A213,,,2026-03-24 01:48:46
120038_A214,120038,A214,,,2026-03-24 01:48:46
120039_A215,120039,A215,,,2026-03-24 01:48:46
120040_A216,120040,A216,,,2026-03-24 01:48:46
120041_A008,120041,A008,,,2026-03-24 01:48:46
120042_A217,120042,A217,,,2026-03-24 01:48:46
120043_A218,120043,A218,,,2026-03-24 01:48:46
120044_A219,120044,A219,,,2026-03-24 01:48:46
120045_A011,120045,A011,,,2026-03-24 01:48:46
120046_A011,120046,A011,,,2026-03-24 01:48:46
120047_A011,120047,A011,,,2026-03-24 01:48:46
120048_A011,120048,A011,,,2026-03-24 01:48:46
120049_A220,120049,A220,,,2026-03-24 01:48:46
120050_A220,120050,A220,,,2026-03-24 01:48:46
120051_A220,120051,A220,,,2026-03-24 01:48:46
120052_A007,120052,A007,,,2026-03-24 01:48:46
120053_A007,120053,A007,,,2026-03-24 01:48:46
120054_A007,120054,A007,,,2026-03-24 01:48:46
120055_A074,120055,A074,,,2026-03-24 01:48:46
120056_A048,120056,A048,,,2026-03-24 01:48:46
120057_A221,120057,A221,,,2026-03-24 01:48:46
